CategoryID,CategoryName,ParentCategoryID,Description,ImageURL,CreatedDate,LastUpdatedDate,IsActive,DiscountPercentage,TaxRate
1,Electronics,NULL,"Main category for electronic products",https://example.com/electronics.png,2023-01-01,2023-06-12,1,5,10
2,Computers,1,"Computers and related accessories",https://example.com/computers.png,2023-01-01,2023-06-12,1,5,10
3,Mobile Devices,1,"Smartphones, tablets, and accessories",https://example.com/mobile.png,2023-01-01,2023-06-12,1,5,10
4,Audio,1,"Audio equipment and accessories",https://example.com/audio.png,2023-01-01,2023-06-12,1,5,10
5,Cameras,1,"Cameras and photography equipment",https://example.com/cameras.png,2023-01-01,2023-06-12,1,5,10
6,Accessories,1,"Accessories for electronic devices",https://example.com/accessories.png,2023-01-01,2023-06-12,1,5,10
7,Home Appliances,NULL,"Main category for home appliances",https://example.com/appliances.png,2023-01-01,2023-06-12,1,5,10
8,Kitchen Appliances,7,"Kitchen appliances and gadgets",https://example.com/kitchen.png,2023-01-01,2023-06-12,1,5,10
9,Personal Care,7,"Personal care and grooming products",https://example.com/personalcare.png,2023-01-01,2023-06-12,1,5,10
10,Smart Home,7,"Smart home devices and automation",https://example.com/smarthome.png,2023-01-01,2023-06-12,1,5,10
