AccessCategoryID,CategoryName,Description,AccessLevel,IsActive,CreatedBy,CreatedDate,LastUpdatedBy,LastUpdatedDate,WebsiteURL
1,Public,"Accessible to all users without restrictions",Public,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/public
2,Registered Users,"Access limited to registered users",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/registered
3,Premium Members,"Exclusive access for premium members",Exclusive,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/premium
4,Administrators,"Access restricted to administrators only",Admin Only,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/admin
5,Employees,"Access limited to company employees",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/employees
6,Developers,"Access restricted to developers and IT staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/developers
7,Partners,"Access limited to authorized partners",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/partners
8,Subscribers,"Access for subscribed users only",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/subscribers
9,Editors,"Access limited to content editors and moderators",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/editors
10,Contributors,"Access for contributors and authors",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/contributors
11,Testers,"Access restricted to testers and quality assurance team",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/testers
12,Clients,"Access limited to clients and customers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/clients
13,Suppliers,"Access for authorized suppliers and vendors",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/suppliers
14,Managers,"Access limited to managers and team leaders",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/managers
15,Finance Team,"Access restricted to finance department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/finance
16,HR Department,"Access limited to human resources department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/hr
17,Sales Team,"Access restricted to sales department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/sales
18,Marketing Team,"Access limited to marketing department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/marketing
19,Support Team,"Access restricted to customer support team members",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/support
20,IT Department,"Access limited to IT department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/it
21,Legal Department,"Access restricted to legal department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/legal
22,Production Team,"Access limited to production department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/production
23,Logistics Team,"Access restricted to logistics department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/logistics
24,Quality Control,"Access limited to quality control team members",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/quality
25,Security Team,"Access restricted to security department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/security
26,Engineering Team,"Access limited to engineering department staff",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/engineering
27,Research Team,"Access restricted to research and development team members",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/research
28,Customer Beta Testers,"Access for customers participating in beta testing programs",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/beta-testers
29,Product Reviewers,"Access limited to product reviewers and influencers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/product-reviewers
30,Content Creators,"Access for content creators and social media influencers",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/content-creators
31,Wholesale Buyers,"Access restricted to wholesale buyers and distributors",Restricted,1,Admin,2023-06-12,Admin,2023-06-12,https://example.com/wholesale-buyers
